Model,Explanation
Mistral 7B (Sentiment),India:0.0262; may:-0.0130; government:-0.0084; stock:0.0076; signals:0.0068; consumer:-0.0058; can:-0.0042; confidence:-0.0019; Markets:-0.0013; strategy:0.0006
DeepSeek R1 (Distill LLaMA 8B) (Input),ban:-0.0581; bleak:-0.0381; negative:-0.0360; losses:-0.0309; their:-0.0288; loss:-0.0257; industry:-0.0252; over:-0.0252; restructuring:-0.0209; Behavioral:-0.0085
DeepSeek R1 (Distill LLaMA 8B) (Input),negative:-0.0746; ambiguous:-0.0650; this:-0.0611; might:-0.0575; the:-0.0445; could:-0.0434; tone:-0.0425; nature:-0.0340; or:0.0118; Potential:0.0106
DeepSeek R1 (Distill LLaMA 8B) (Input),favorable:0.0328; momentum:0.0311; the:0.0300; 2:0.0278; ahead:0.0266; rationale:0.0238; not:-0.0215; down:-0.0202; cents:0.0035; Dumping:-0.0032
DeepSeek R1 (Distill LLaMA 8B) (Input),bearish:-0.0776; down:-0.0699; or:-0.0616; declines:-0.0492; about:-0.0442; NG:-0.0374; buy:0.0347; term:0.0144; back:0.0139; 1:0.0109
DeepSeek R1 (Distill LLaMA 8B) (Input),stop:-0.0842; an:-0.0534; decline:-0.0514; the:-0.0502; breached:-0.0497; off:-0.0459; panic:-0.0304; selling:0.0260; 2:0.0239; pressure:-0.0221
DeepSeek R1 (Distill LLaMA 8B) (Input),spreads:-0.0425; harming:-0.0402; off:-0.0370; market:-0.0274; model:-0.0245; perceptions:-0.0209; in:-0.0145; term:-0.0110; Payroll:-0.0100; better:-0.0089
DeepSeek R1 (Distill LLaMA 8B) (Input),term:0.0486; buy:0.0461; the:0.0391; positive:0.0350; 1:0.0335; attractive:0.0305; upward:0.0280; a:0.0266; stock:0.0261; Short:-0.0017
DeepSeek R1 (Distill LLaMA 8B) (Input),delay:-0.0849; defaults:0.0479; allowing:0.0439; recovery:0.0332; 2:0.0318; delayed:-0.0310; Coronavirus:0.0303; The:0.0208; Increased:-0.0131; retail:-0.0059
DeepSeek R1 (Distill LLaMA 8B) (Input),positive:0.0409; better:0.0360; potential:0.0318; buying:0.0279; around:0.0238; Optimism:0.0223; negative:-0.0058; phrasing:0.0040; AAP:-0.0014; away:-0.0003
DeepSeek R1 (Distill LLaMA 8B) (Input),upward:0.0429; buy:0.0429; positive:0.0428; buying:0.0392; momentum:0.0227; 7:0.0211; uncertainty:-0.0093; GDP:-0.0092; less:-0.0076; weaker:-0.0004
DeepSeek R1 (Distill LLaMA 8B) (Input),s:0.0358; reliance:0.0324; CSOD:0.0299; positive:0.0269; 5:0.0228; investing:0.0221; This:0.0218; expanding:0.0200; public:-0.0058; economic:0.0055
DeepSeek R1 (Distill LLaMA 8B) (Input),resilience:0.0774; columnist:-0.0545; 2:0.0269; might:-0.0251; slammed:-0.0222; or:-0.0208; good:0.0199; may:-0.0113; possesses:-0.0022; them:0.0020
DeepSeek R1 (Distill LLaMA 8B) (Input),negative:-0.0468; expensive:-0.0450; blog:0.0435; insights:0.0322; the:-0.0294; buy:0.0279; time:0.0262; cheap:0.0251; future:0.0192; 2:0.0165
DeepSeek R1 (Distill LLaMA 8B) (Input),weak:-0.1414; not:-0.1024; strong:0.0715; short:-0.0703; term:0.0572; market:-0.0417; price:-0.0319; acquiring:0.0128; stocks:-0.0119; momentum:0.0103
DeepSeek R1 (Distill LLaMA 8B) (Input),short:-0.1907; shorting:-0.0551; weakness:-0.0361; decline:-0.0335; might:0.0210; position:-0.0196; indication:0.0144; trading:0.0140; setting:-0.0130; downside:0.0085
DeepSeek R1 (Distill LLaMA 8B) (Input),Reserve:0.0875; Federal:-0.0672; eased:0.0664; buying:0.0555; positive:0.0515; not:-0.0438; economic:-0.0260; might:-0.0236; prices:-0.0212; see:-0.0172
DeepSeek R1 (Distill LLaMA 8B) (Input),IMO:0.0377; the:0.0346; confidence:0.0255; The:0.0253; positive:0.0241; before:0.0126; or:0.0078; price:0.0062; tweet:-0.0019; often:0.0018
DeepSeek R1 (Distill LLaMA 8B) (Input),term:0.0778; on:0.0602; performance:0.0398; 1:0.0388; AIG:0.0315; buying:0.0294; short:-0.0097; lower:-0.0090; often:-0.0040; negative:-0.0007
DeepSeek R1 (Distill LLaMA 8B) (Input),not:0.1535; term:0.0923; 11:0.0672; short:-0.0572; 95:0.0425; below:-0.0425; 3:0.0405; buy:0.0397; resistance:-0.0265; s:-0.0090
DeepSeek R1 (Distill LLaMA 8B) (Input),short:-0.1750; negative:-0.0641; declines:-0.0382; more:-0.0362; sentiment:-0.0346; 1:-0.0328; might:-0.0298; publicly:-0.0274; exposure:0.0072; as:-0.0070
DeepSeek R1 (Distill LLaMA 8B) (Input),PO:0.0377; stock:0.0330; positive:0.0303; specialty:0.0233; stocks:0.0211; The:0.0206; buying:0.0188; applications:0.0164; upward:0.0161; for:0.0128
DeepSeek R1 (Distill LLaMA 8B) (Input),term:0.0512; potential:0.0413; the:0.0409; upward:0.0385; reflect:0.0286; favorable:0.0267; before:0.0253; stock:0.0215; short:-0.0183; early:0.0182
DeepSeek R1 (Distill LLaMA 8B) (Input),short:-0.1058; Short:-0.0379; negatively:-0.0291; pressure:0.0267; negative:-0.0194; that:-0.0187; decline:-0.0181; risk:-0.0161; downside:-0.0146; which:-0.0134
DeepSeek R1 (Distill LLaMA 8B) (Input),term:0.0424; the:0.0406; post:0.0245; in:0.0241; a:0.0222; Momentum:0.0221; 1:0.0213; buy:0.0202; upward:0.0195; short:-0.0066
DeepSeek R1 (Distill LLaMA 8B) (Input),bearish:-0.1195; declines:-0.0339; decline:-0.0290; 4:0.0259; lower:-0.0240; them:-0.0202; investors:-0.0193; unfavorable:-0.0187; short:-0.0181; downward:-0.0130
DeepSeek R1 (Distill LLaMA 8B) (Input),downgrade:-0.2165; positive:0.1623; good:0.0589; negatively:-0.0518; However:-0.0444; statement:-0.0428; speculation:-0.0371; avoid:-0.0325; Q3:0.0309; analysts:-0.0253
DeepSeek R1 (Distill LLaMA 8B) (Input),positive:0.0496; buy:0.0470; momentum:0.0278; 1:0.0249; further:0.0235; positions:0.0221; moving:0.0181; rapid:0.0127; information:-0.0122; for:-0.0042
DeepSeek R1 (Distill LLaMA 8B) (Input),upward:0.0422; buy:0.0322; stock:0.0314; buying:0.0311; despite:0.0297; up:0.0263; motivating:0.0232; sentiments:0.0220; based:0.0194; Buying:0.0152
DeepSeek R1 (Distill LLaMA 8B) (Input),done:0.0530; term:0.0482; short:-0.0368; trading:0.0329; volatility:0.0263; and:0.0260; that:-0.0210; decrease:-0.0200; positive:0.0194; report:-0.0187
DeepSeek R1 (Distill LLaMA 8B) (Input),Big:0.0472; BAC:0.0394; the:0.0337; buy:0.0333; 2:0.0305; confidence:0.0282; 1:0.0255; stock:0.0242; might:-0.0127; or:-0.0001
DeepSeek R1 (Distill LLaMA 8B) (Input),based:0.0226; stock:0.0194; tweet:-0.0184; strong:0.0171; investors:0.0157; Confidence:0.0138; performance:0.0129; Apple:-0.0067; fluctuations:-0.0047; or:-0.0028
DeepSeek R1 (Distill LLaMA 8B) (Input),buy:0.0621; positive:0.0337; stock:0.0294; with:0.0283; the:0.0274; purchasing:0.0249; a:0.0243; signify:0.0238; short:0.0014; may:0.0011
DeepSeek R1 (Distill LLaMA 8B) (Input),coronavirus:-0.0757; bearish:-0.0379; decline:-0.0319; Central:-0.0271; adjust:-0.0263; affect:-0.0261; discourages:-0.0206; summary:-0.0200; selling:0.0112; an:-0.0089
DeepSeek R1 (Distill LLaMA 8B) (Input),HEK:0.0402; potential:0.0324; 30:0.0307; successful:0.0292; buy:0.0257; the:0.0243; 50:0.0222; assess:0.0154; might:-0.0060; Triangle:0.0012
DeepSeek R1 (Distill LLaMA 8B) (Input),fading:-0.1227; bearish:-0.0547; could:-0.0405; downward:-0.0315; about:-0.0314; down:-0.0247; influence:-0.0187; behavior:-0.0106; in:0.0102; sustainability:0.0005
DeepSeek R1 (Distill LLaMA 8B) (Input),the:0.0362; stock:0.0349; a:0.0306; 1:0.0269; NKD:0.0247; investors:0.0213; Increased:0.0197; enthusiasm:0.0172; may:0.0004; price:-0.0002
DeepSeek R1 (Distill LLaMA 8B) (Input),downward:-0.0545; negative:-0.0282; agricultural:-0.0213; Caterpillar:-0.0154; holdings:-0.0151; interpret:-0.0143; stocks:-0.0122; situation:-0.0081; trend:0.0057; assumption:0.0043
DeepSeek R1 (Distill LLaMA 8B) (Input),stop:-0.0893; downward:-0.0835; bearish:-0.0689; asset:-0.0521; Context:-0.0500; several:-0.0412; with:-0.0179; Sentiment:0.0131; rapid:0.0077; important:0.0015
DeepSeek R1 (Distill LLaMA 8B) (Input),negative:-0.0547; decline:-0.0390; bearish:-0.0317; selling:0.0248; averse:-0.0247; down:-0.0237; lack:-0.0234; are:-0.0173; degrade:-0.0155; suggests:0.0152
DeepSeek R1 (Distill LLaMA 8B) (Input),buy:0.0401; 3:0.0262; upward:0.0257; leads:0.0256; 1:0.0251; with:0.0232; potential:0.0224; opportunity:0.0214; the:0.0207; Setup:0.0203
DeepSeek R1 (Distill LLaMA 8B) (Input),hot:0.0701; stocks:0.0466; buy:0.0465; popularity:0.0370; 1:0.0346; losers:-0.0325; based:0.0300; excitement:0.0293; lower:-0.0075; drop:-0.0040
DeepSeek R1 (Distill LLaMA 8B) (Input),the:0.0327; 2:0.0322; 6:0.0298; Michigan:0.0285; for:0.0282; stock:0.0280; engagement:0.0268; in:0.0236; Competitors:0.0030; could:-0.0013
DeepSeek R1 (Distill LLaMA 8B) (Input),RBI:0.0460; India:0.0314; s:0.0309; 3:0.0276; a:0.0254; the:0.0250; encourage:0.0247; liquidity:0.0223; may:0.0039; might:-0.0023
DeepSeek R1 (Distill LLaMA 8B) (Input),cut:-0.3710; to:-0.0494; that:-0.0443; Given:-0.0269; assess:-0.0186; term:0.0095; buy:0.0082; Stability:-0.0077; signal:-0.0028; in:0.0003
DeepSeek R1 (Distill LLaMA 8B) (Input),the:0.0339; stock:0.0293; upward:0.0287; 12:0.0261; Positive:0.0219; 1:0.0196; Support:0.0195; indicates:0.0181; 3:0.0179; experiencing:0.0177
DeepSeek R1 (Distill LLaMA 8B) (Input),upward:0.0514; term:0.0363; positive:0.0325; the:0.0311; stock:0.0290; strong:0.0283; long:0.0274; and:0.0253; might:0.0045; see:-0.0043
DeepSeek R1 (Distill LLaMA 8B) (Input),lack:-0.0692; not:-0.0682; pressure:-0.0585; If:-0.0528; unreliable:-0.0496; negative:-0.0445; expectations:-0.0339; confidence:0.0272; selling:0.0213; favorable:0.0155
DeepSeek R1 (Distill LLaMA 8B) (Input),term:0.0956; decline:-0.0877; may:-0.0710; weaker:-0.0638; short:-0.0624; decreased:-0.0574; questions:-0.0475; concerns:-0.0464; company:-0.0378; discounts:0.0204
DeepSeek R1 (Distill LLaMA 8B) (Input),long:0.0394; stock:0.0304; confidence:0.0303; the:0.0302; increased:0.0254; positive:0.0235; are:0.0227; Positive:0.0213; insights:0.0177; tweet:-0.0078
DeepSeek R1 (Distill LLaMA 8B) (Input),the:0.0362; stock:0.0337; breakout:0.0275; 22:0.0245; The:0.0238; trading:0.0227; 8:0.0225; strength:0.0152; breaking:0.0114; investor:0.0114
DeepSeek R1 (Distill LLaMA 8B) (Input),shorting:-0.1765; short:-0.0544; price:0.0399; decline:-0.0299; bearish:-0.0296; above:-0.0128; lead:0.0073; If:-0.0072; Decline:-0.0045; suggests:0.0001
DeepSeek R1 (Distill LLaMA 8B) (Input),a:0.0512; rebound:0.0460; indication:0.0368; buying:0.0317; selling:0.0308; their:0.0293; stop:-0.0227; placing:0.0101; on:-0.0058; drawn:-0.0018
DeepSeek R1 (Distill LLaMA 8B) (Input),short:-0.1589; Short:-0.0533; market:-0.0296; AMZN:-0.0288; Break:-0.0284; around:-0.0189; value:-0.0173; increased:0.0124; stock:0.0084; act:0.0064
DeepSeek R1 (Distill LLaMA 8B) (Input),company:0.0387; Here:0.0323; the:0.0295; is:0.0278; positive:0.0264; 1:0.0243; a:0.0208; investor:0.0202; 2:0.0192; or:-0.0031
DeepSeek R1 (Distill LLaMA 8B) (Input),short:-0.1364; bearish:-0.1060; Lower:-0.0403; without:-0.0335; this:0.0295; likely:-0.0292; selling:0.0278; sell:0.0240; faltering:-0.0234; going:-0.0207
DeepSeek R1 (Distill LLaMA 8B) (Input),joblessness:-0.1035; negative:-0.0397; lower:-0.0384; spike:-0.0366; reallocating:-0.0218; on:-0.0196; those:-0.0151; 2:-0.0090; safer:0.0038; Market:-0.0036
DeepSeek R1 (Distill LLaMA 8B) (Input),lack:-0.0910; decline:-0.0897; sell:0.0706; down:-0.0657; not:-0.0612; the:-0.0610; declines:-0.0572; 420ish:-0.0520; selling:0.0286; minimize:0.0209
DeepSeek R1 (Distill LLaMA 8B) (Input),government:-0.0910; rate:-0.0689; emergency:-0.0598; loan:0.0500; investors:-0.0465; off:-0.0448; interest:-0.0447; 5:-0.0428; raising:0.0279; an:-0.0231
DeepSeek R1 (Distill LLaMA 8B) (Input),the:0.0349; BK:0.0327; confidence:0.0301; 2:0.0280; buying:0.0238; stock:0.0212; 1:0.0209; favorable:0.0205; 3:0.0197; position:0.0189
DeepSeek R1 (Distill LLaMA 8B) (Input),GMX:0.0540; magic:0.0318; positive:0.0305; the:0.0294; tweet:-0.0206; potential:0.0164; encouraging:0.0156; This:0.0132; it:-0.0026; could:-0.0003
DeepSeek R1 (Distill LLaMA 8B) (Input),the:0.0324; stock:0.0305; positive:0.0259; term:0.0253; 6:0.0215; attract:0.0205; 5:0.0187; short:0.0069; or:0.0042; for:0.0009
DeepSeek R1 (Distill LLaMA 8B) (Input),bearish:-0.0877; decline:-0.0712; downward:-0.0453; lack:-0.0310; Negative:-0.0260; term:0.0223; following:-0.0212; significant:0.0166; influence:-0.0140; volatility:0.0105
DeepSeek R1 (Distill LLaMA 8B) (Input),stocks:0.1040; Short:-0.1039; buying:0.1002; shorted:-0.0977; Confidence:0.0819; despite:0.0812; act:0.0789; when:0.0772; cover:0.0171; price:-0.0165
DeepSeek R1 (Distill LLaMA 8B) (Input),potential:0.0446; DOV:0.0390; on:0.0370; and:0.0356; the:0.0309; being:0.0291; prime:0.0264; is:0.0257; Confidence:0.0250; might:0.0092
DeepSeek R1 (Distill LLaMA 8B) (Input),buying:0.0341; the:0.0309; volume:0.0284; indicate:0.0210; 1:0.0200; upward:0.0168; positive:0.0150; or:-0.0061; price:-0.0055; close:-0.0053
DeepSeek R1 (Distill LLaMA 8B) (Input),healthcare:0.0293; the:0.0288; company:0.0258; Positive:0.0251; highs:0.0248; encourage:0.0231; high:0.0227; upward:0.0190; When:0.0119; 1:0.0114
DeepSeek R1 (Distill LLaMA 8B) (Input),booming:0.0333; the:0.0308; buy:0.0288; investor:0.0281; buying:0.0257; positive:0.0255; a:0.0251; NH:0.0251; investment:0.0235; tweet:0.0073
DeepSeek R1 (Distill LLaMA 8B) (Input),negative:-0.1653; downward:-0.0750; upward:0.0724; stock:0.0657; Conversely:0.0638; declines:-0.0617; formation:0.0587; flag:0.0504; bearish:-0.0233; could:-0.0189
DeepSeek R1 (Distill LLaMA 8B) (Input),term:0.0649; positive:0.0484; the:0.0384; stock:0.0325; Insight:0.0287; be:0.0279; buy:0.0244; short:-0.0236; declaration:0.0129; collective:0.0104
DeepSeek R1 (Distill LLaMA 8B) (Input),and:0.0336; loyalty:0.0294; company:0.0286; stock:0.0280; Gingerbread:0.0273; future:0.0272; Android:0.0243; Bean:0.0199; might:0.0096; Google:0.0046
DeepSeek R1 (Distill LLaMA 8B) (Input),investment:0.0320; buy:0.0296; increase:0.0212; best:0.0204; points:0.0190; FDX:0.0185; historical:0.0179; upward:0.0169; transportation:0.0136; or:-0.0117
DeepSeek R1 (Distill LLaMA 8B) (Input),the:0.0453; above:0.0378; day:0.0375; upward:0.0301; stock:0.0269; 2:0.0254; attract:0.0131; Barrier:0.0066; Market:0.0019; barrier:-0.0007
DeepSeek R1 (Distill LLaMA 8B) (Input),under:-0.0611; confidence:0.0486; upward:0.0466; acquired:0.0363; initially:0.0356; opportunities:0.0335; hasty:-0.0186; missed:-0.0139; or:-0.0136; shot:-0.0094
DeepSeek R1 (Distill LLaMA 8B) (Input),the:0.0506; stock:0.0448; wants:0.0349; traders:0.0286; Overall:0.0261; Positive:0.0153; or:-0.0099; tweet:-0.0056; trends:0.0053; phrase:-0.0049
DeepSeek R1 (Distill LLaMA 8B) (Input),panic:-0.1071; company:-0.0696; despite:-0.0595; has:-0.0489; term:0.0313; strong:0.0231; indicating:0.0127; opportunity:-0.0069; market:0.0063; decision:-0.0037
DeepSeek R1 (Distill LLaMA 8B) (Input),buy:0.0415; s:0.0315; and:0.0282; upward:0.0279; IDCC:0.0268; positive:0.0246; the:0.0228; breakout:0.0221; dynamics:0.0177; unsustainable:-0.0028
DeepSeek R1 (Distill LLaMA 8B) (Input),shorting:-0.1590; short:-0.1512; Microsoft:-0.0339; liquidity:-0.0287; warning:-0.0196; might:0.0142; specific:0.0137; looking:0.0107; prompting:-0.0081; myriad:0.0044
DeepSeek R1 (Distill LLaMA 8B) (Input),negative:-0.0264; weaker:-0.0261; depreciation:-0.0210; Government:-0.0192; to:-0.0181; Bank:-0.0171; conditions:-0.0105; involve:0.0025; Rupee:-0.0021; sentiment:-0.0008
DeepSeek R1 (Distill LLaMA 8B) (Input),down:-0.2655; drop:-0.0568; short:-0.0564; averaging:0.0518; might:-0.0482; In:-0.0458; negative:-0.0299; perspective:0.0265; opportunity:0.0054; which:-0.0018
DeepSeek R1 (Distill LLaMA 8B) (Input),resistance:-0.1305; Resistance:-0.0753; barrier:-0.0655; drops:-0.0498; price:-0.0441; reached:0.0393; presence:-0.0320; stock:0.0209; upward:0.0200; experienced:0.0183
DeepSeek R1 (Distill LLaMA 8B) (Input),negative:-0.0350; negatively:-0.0256; uncertainty:-0.0222; disappointment:-0.0210; sell:0.0200; of:-0.0185; fractured:-0.0170; can:-0.0160; Reaction:-0.0102; feeling:0.0058
DeepSeek R1 (Distill LLaMA 8B) (Input),buying:0.0377; the:0.0367; Resilience:0.0334; Overall:0.0326; patience:0.0306; believe:0.0267; investor:0.0233; tweet:-0.0067; downturn:-0.0039; Google:0.0003
DeepSeek R1 (Distill LLaMA 8B) (Input),drop:-0.0857; bearish:-0.0816; decline:-0.0781; Short:-0.0556; not:-0.0540; buy:0.0532; Taking:-0.0346; create:-0.0199; during:0.0190; rather:-0.0103
DeepSeek R1 (Distill LLaMA 8B) (Input),decline:-0.1093; such:-0.0514; drop:-0.0478; erode:-0.0438; declines:-0.0429; difficulties:-0.0410; reduction:-0.0277; profit:0.0250; suggests:-0.0048; based:0.0011
DeepSeek R1 (Distill LLaMA 8B) (Input),CEG:0.0627; positive:0.0474; the:0.0337; Positive:0.0293; add:0.0279; s:0.0263; 1:0.0212; An:0.0116; reconsider:0.0085; its:0.0041
DeepSeek R1 (Distill LLaMA 8B) (Input),short:-0.2244; bearish:-0.0397; downward:-0.0352; may:-0.0274; down:-0.0258; decline:-0.0235; light:0.0194; leading:-0.0186; who:-0.0179; opportunities:0.0125
DeepSeek R1 (Distill LLaMA 8B) (Input),resilient:0.0615; BAC:0.0375; stock:0.0351; positive:0.0289; 3:0.0280; term:0.0243; providing:0.0218; Performance:0.0202; the:0.0182; economic:0.0064
Mistral 7B (Finetuned),expenses:0.0118; Burden:0.0117; affect:-0.0092; Employers:-0.0081; opportunities:0.0079; benefits:0.0075; signals:0.0070; broader:0.0069; can:-0.0055; retail:-0.0014
Mistral 7B (Finetuned),bearish:-0.0368; worsen:-0.0301; declines:-0.0289; Those:-0.0202; decline:-0.0185; downward:-0.0183; losses:-0.0176; stock:-0.0173; investors:-0.0143; This:0.0127
Mistral 7B (Finetuned),term:0.3269; short:-0.2552; Short:-0.0870; showing:0.0508; potential:-0.0493; a:0.0473; based:0.0419; discussed:-0.0308; AAP:-0.0176; additional:-0.0174
Mistral 7B (Finetuned),indicates:0.0074; positive:0.0063; strength:0.0046; performance:0.0045; the:0.0044; tech:0.0042; healthy:0.0040; see:0.0036; their:-0.0017; This:-0.0014
Mistral 7B (Finetuned),momentum:0.0285; lack:-0.0228; profits:0.0202; in:0.0199; trimming:-0.0160; Successful:0.0134; trim:-0.0105; volatility:-0.0102; reduce:-0.0081; not:-0.0057
Mistral 7B (Finetuned),growth:0.0054; continue:0.0050; indicated:0.0039; within:0.0034; indicates:0.0030; 00:0.0021; profit:-0.0019; a:-0.0012; company:-0.0006; profitability:-0.0004
Mistral 7B (Finetuned),Term:0.0107; VNG:0.0105; stock:0.0099; potential:0.0093; investors:0.0075; performance:0.0065; Short:-0.0032; resistance:-0.0028; reversal:-0.0019; averages:0.0013
Mistral 7B (Finetuned),decline:-0.1157; negative:-0.1072; struggling:-0.0687; pessimism:-0.0576; influence:-0.0506; consider:-0.0269; stable:0.0216; tweet:0.0185; better:-0.0070; Best:-0.0054
Mistral 7B (Finetuned),declines:-0.1073; decline:-0.0529; caution:-0.0477; could:-0.0381; Einhorn:-0.0356; interpretations:-0.0273; lows:-0.0234; indicates:-0.0133; see:-0.0099; minimize:0.0077
Mistral 7B (Finetuned),stable:0.0290; positive:0.0250; GMC:0.0239; while:0.0239; up:0.0213; lower:-0.0181; indicate:-0.0136; downturn:-0.0104; influence:0.0010; patterns:-0.0004
Mistral 7B (Finetuned),ambiguity:-0.0246; positive:0.0198; enthusiasm:0.0148; correlate:-0.0137; uncertainty:-0.0125; could:-0.0115; Lack:-0.0110; indicate:0.0107; behind:0.0065; might:-0.0043
Mistral 7B (Finetuned),rising:0.0067; performing:0.0064; strong:0.0060; profitable:0.0058; surpassed:0.0056; growth:0.0052; stock:0.0048; entry:0.0032; barrier:-0.0026; supply:-0.0011
Mistral 7B (Finetuned),short:-0.1245; bearish:-0.1065; decrease:-0.0523; risk:-0.0426; imminent:-0.0406; elements:-0.0381; 1:0.0222; imply:0.0201; due:0.0137; potential:0.0122
Mistral 7B (Finetuned),and:-0.0210; bleak:-0.0176; negative:-0.0174; preemptively:-0.0163; Strategies:-0.0123; around:-0.0121; decreased:-0.0106; outlook:-0.0056; Overall:-0.0043; anticipated:0.0000
Mistral 7B (Finetuned),negative:-0.1615; affect:-0.1242; impacting:-0.0534; could:-0.0523; market:-0.0456; stock:-0.0420; one:-0.0406; perceived:-0.0398; look:-0.0358; based:-0.0316
Mistral 7B (Finetuned),overvaluation:-0.1189; volatility:-0.1050; continue:-0.0762; cautious:-0.0750; may:-0.0655; not:-0.0640; trend:-0.0543; secure:0.0343; momentum:0.0334; the:0.0258
Mistral 7B (Finetuned),bearish:-0.1617; lows:-0.1550; declining:-0.0771; declines:-0.0499; volatility:-0.0410; 2:-0.0335; further:-0.0322; a:-0.0203; downtrend:-0.0187; target:0.0070
Mistral 7B (Finetuned),decline:-0.0530; losses:-0.0496; unfavorable:-0.0470; decrease:-0.0415; stop:-0.0412; fluctuate:-0.0349; similar:-0.0297; investors:-0.0275; among:0.0161; if:0.0034
Mistral 7B (Finetuned),declines:-0.0392; impacting:-0.0386; harming:-0.0352; operating:-0.0332; affect:-0.0300; lower:-0.0289; several:-0.0234; sell:0.0071; taxes:-0.0053; model:-0.0034
Mistral 7B (Finetuned),term:0.1048; Short:-0.0534; short:-0.0521; attractive:0.0445; Engagement:0.0355; increased:0.0329; upward:0.0317; 1:-0.0209; Market:-0.0138; consider:-0.0110
Mistral 7B (Finetuned),pandemic:-0.0882; delay:-0.0781; the:-0.0488; to:-0.0402; crisis:-0.0398; recovering:0.0185; recovery:0.0176; Reduced:0.0111; pressure:0.0108; three:0.0037
Mistral 7B (Finetuned),volatility:-0.1222; negative:-0.1083; Volatility:-0.0595; positive:0.0582; better:0.0541; belief:0.0435; AAP:-0.0389; instability:-0.0312; against:0.0304; perceived:-0.0188
Mistral 7B (Finetuned),Volatility:-0.0300; uncertainty:-0.0242; less:-0.0155; upward:0.0153; can:-0.0148; rise:0.0102; growth:0.0037; Favorable:-0.0009; as:-0.0004; Rising:0.0002
Mistral 7B (Finetuned),growth:0.0099; performance:0.0076; reputation:0.0067; investors:0.0057; investing:0.0034; countermeasures:-0.0017; potentially:0.0010; outmaneuver:-0.0010; positively:-0.0007; landscape:0.0007
Mistral 7B (Finetuned),resilience:0.1036; volatility:-0.0958; challenges:-0.0637; pandemic:-0.0615; market:-0.0545; recovery:0.0476; criticism:-0.0471; tweet:-0.0433; impact:-0.0355; might:-0.0259
Mistral 7B (Finetuned),negative:-0.0943; overvalued:-0.0750; positive:0.0529; shift:-0.0498; could:-0.0471; or:-0.0414; trend:-0.0395; affect:-0.0394; on:0.0320; buy:0.0166
Mistral 7B (Finetuned),not:-0.1364; weak:-0.1342; short:-0.1201; strong:0.1176; pitfalls:-0.0943; term:0.0627; losses:-0.0536; behavior:-0.0498; tape:-0.0493; but:0.0177
Mistral 7B (Finetuned),short:-0.0608; shorting:-0.0424; bearish:-0.0363; decline:-0.0305; negatively:-0.0248; signal:-0.0215; capitalize:0.0121; recent:0.0090; volume:0.0039; reasons:0.0034
Mistral 7B (Finetuned),pandemic:-0.0754; strain:-0.0429; rebound:0.0377; affect:-0.0365; the:-0.0364; overly:-0.0315; market:-0.0302; improving:0.0222; eased:0.0183; opportunity:-0.0005
Mistral 7B (Finetuned),investors:0.0107; Confidence:0.0089; in:0.0087; attractive:0.0077; Low:-0.0069; lower:-0.0068; confidence:0.0045; or:-0.0025; user:-0.0019; market:-0.0004
Mistral 7B (Finetuned),negative:-0.0951; short:-0.0929; downturn:-0.0738; Reactionary:-0.0720; rise:0.0637; Volatility:-0.0510; term:0.0492; trading:-0.0413; earnings:0.0211; reflect:0.0008
Mistral 7B (Finetuned),term:0.0754; short:-0.0707; not:0.0566; fall:-0.0446; momentum:0.0436; impact:-0.0283; support:0.0259; attract:0.0257; below:0.0231; it:0.0222
Mistral 7B (Finetuned),short:-0.1364; negative:-0.0812; disappointment:-0.0669; declines:-0.0560; question:-0.0490; traders:-0.0489; Given:-0.0470; t:-0.0426; Overall:-0.0351; Market:0.0166
Mistral 7B (Finetuned),stock:0.0068; strong:0.0062; upward:0.0046; positive:0.0043; are:0.0039; Strong:0.0034; the:0.0013; consider:0.0007; also:-0.0004; forecasts:-0.0000
Mistral 7B (Finetuned),short:-0.0703; term:0.0628; gains:0.0369; cautious:-0.0212; before:0.0184; and:0.0174; upward:0.0171; tolerance:0.0162; momentum:0.0154; be:-0.0123
Mistral 7B (Finetuned),short:-0.0438; negative:-0.0361; bearish:-0.0289; buying:-0.0286; has:-0.0246; decline:-0.0245; information:0.0093; person:-0.0007; A:-0.0006; opportunity:-0.0005
Mistral 7B (Finetuned),volatility:-0.0603; gains:0.0304; term:0.0303; short:-0.0273; excitement:0.0137; influence:-0.0074; attention:-0.0069; accompany:-0.0066; signal:-0.0047; buying:0.0012
Mistral 7B (Finetuned),bearish:-0.0922; decline:-0.0505; downward:-0.0399; sentiment:-0.0377; downturn:-0.0342; unfavorable:-0.0308; shares:-0.0249; decisions:-0.0206; while:0.0183; is:0.0137
Mistral 7B (Finetuned),downgrade:-0.2348; positive:0.1362; volatility:-0.0732; good:0.0701; negatively:-0.0678; could:-0.0628; against:-0.0567; Downgrades:-0.0407; caution:-0.0309; that:0.0208
Mistral 7B (Finetuned),positive:0.0311; impact:-0.0274; short:-0.0197; upward:0.0144; capitalize:0.0120; Volatility:-0.0117; often:0.0115; economic:-0.0074; hinting:0.0069; at:0.0023
Mistral 7B (Finetuned),not:-0.0353; despite:0.0277; volatility:-0.0204; stock:0.0169; upward:0.0164; gap:-0.0156; investors:0.0142; Reversal:-0.0142; user:-0.0140; rebound:0.0118
